id,period,category,confidence,rationale,alternatives,comparator,method,contribution,contribution_basis,reported_date,first_collected_date,collection_kind,strict_category,strict_proof_status_unchanged
"135","2026-02","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Every finite simple graph satisfies the stated degree-product lower bound for its multivariate independence polynomial, with equality characterization, and the analogous two-proper-colour… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-02-02","","unknown","incomplete","true"
"21","2026-02","Difficult","medium","The coded source describes settlement of a pre-existing target: Fel's conjectured syzygy power-sum identity holds for every numerical semigroup and every p >= 0. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-02-03","","unknown","incomplete","true"
"22","2026-02","Difficult","medium","The coded source describes settlement of a pre-existing target: The parity conjecture for odd k-differentials holds, making the genus-zero and genus-one classification unconditional. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-02-03","","unknown","incomplete","true"
"24","2026-02","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: A density-one family of primes has the paper's partial-regularity property for every alpha > 1/2. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-02-04","","unknown","incomplete","true"
"43","2026-03","Difficult","medium","The coded source describes prior resistance at the exact target: The cosmic-string radiation integral I(N, alpha) has an exact solution for arbitrary loop geometry. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-03-05","","unknown","Difficult","true"
"198","2026-03","Unassessed","low","The available claim summary does not support a useful human-effort judgment: For every n congruent to 1 modulo 3, every n-by-n Latin square L has imbalance I(L) at least 4n(n-1)/9; for 4 <= n <= 52, near-perfect permutations yield circulant Latin squares attaining… It is retained outside the three assessed tiers pending a focused pass.","Expected;Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-03-10","","unknown","incomplete","true"
"42","2026-03","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper establishes its full equilibrium theorem for the Vlasov-Maxwell-Landau system under the stated smoothness hypotheses. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-03-16","","unknown","incomplete","true"
"13","2026-03","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The small-prime-factor extremal function in Erdos problem 684 has polylogarithmic upper growth, with logarithmic lower growth on an infinite sequence. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-03-31","","unknown","incomplete","true"
"14","2026-03","Difficult","medium","A partition-resistant additive-basis construction answers an open target, but the source records one unfinished prior proof rather than a sustained comparative human baseline.","Superhuman","An additive-combinatorics specialist or small team constructing a basis under the known partition constraints.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-03-31","","unknown","incomplete","true"
"15","2026-03","Superhuman","low","The reported model proof passes from a recent one-alpha partial result and an earlier failed argument to a theorem for every real alpha, providing a specific frontier jump.","Difficult","The cited failed argument and 2024 one-alpha human subcase versus the universal-alpha theorem.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-03-31","","unknown","Superhuman","true"
"3","2026-04","Difficult","medium","A new ring-theoretic counterexample answers a precise specialist problem, but the record does not document repeated failed human attempts or a matched human comparator. Autonomous production is a separate attribution.","Expected;Superhuman","Relevant commutative-algebra specialist developing an explicit counterexample with existing ring-theoretic methods; required time is unmeasured.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-04-04","","unknown","incomplete","true"
"16","2026-04","Superhuman","low","The reported construction achieves quadratic ordinary-line growth while meeting forbidden-clique conditions, beyond the independently developed configurations cited in the record.","Difficult","The cited 1984 and 2016 human configuration programs on the same ordinary-line frontier.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-04-08","","unknown","Superhuman","true"
"17","2026-04","Superhuman","low","The model-attributed dyadic construction gives sublinear exponential-sum control near the cited lower-bound scale after independent earlier quantitative attacks.","Difficult","The Clunie and Liu quantitative human bounds versus the reported uniform square-root-logarithmic construction.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-04-08","","unknown","Superhuman","true"
"18","2026-04","Superhuman","low","The reported model-found unbounded graph family breaks the boundedness expectation after independent improvements to chord bounds.","Difficult","The Larson and Voss chord-bound programs versus arbitrarily large critical graphs with at most ten chords per cycle.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-04-08","","unknown","Superhuman","true"
"19","2026-04","Superhuman","low","The model-attributed sparse-polynomial family overturns the discrepancy conjecture rather than merely improving a finite numerical bound, against cited independent quantitative approaches.","Difficult","Hayman and Hrubes sparse-root frontier work versus the reported unbounded counterexample family.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-04-08","","unknown","Superhuman","true"
"20","2026-04","Difficult","low","The fixed-a generalization is substantive, but related cases and high model solve rates do not establish repeated human resistance on the exact theorem.","Expected;Superhuman","A number-theory specialist extending the known related cases; no matched human time trial.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-04-08","","unknown","incomplete","true"
"226","2026-04","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports exact values through k=5, lower bounds for k=6,7 and an improved general lower bound. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-04-10","","unknown","incomplete","true"
"227","2026-04","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports a persistent-topology framework for ropelength-filtered knot spaces, attained merge-height ultrametrics and an exact discrete figure-eight merge height of 32. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-04-21","","unknown","incomplete","true"
"12","2026-04","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Stable tame isomorphism, quasi-isomorphism, and derived Morita equivalence are undecidable for semifree noncommutative differential graded algebras in the stated generality. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-04-28","","unknown","incomplete","true"
"199","2026-05","Expected","medium","The AI-assisted step identifies an excursion-Poisson-kernel interpretation within an author's existing formal asymptotic calculation. The author independently derives the identity, while rigorous PDE existence and stability are expressly outside the claim. This is plausibly normal specialist analytic work rather than evidence of exceptional human difficulty.","Difficult","A specialist in conformal/PDE asymptotics developing an identity within an existing formal reduced model; no measured time comparison is available.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-12","","unknown","incomplete","true"
"228","2026-05","Difficult","low","The reported package combines generic irreducibility, explicit low-dimensional counterexamples and a codimension-growth principle, suggesting non-routine structural work rather than only automated checking. Its breadth and unsettled claim-to-system mapping make the coarse judgment uncertain; the available summary could conceal a more standard specialist derivation.","Expected","A small specialist team in spectral/algebraic geometry using symbolic computation; no effort or controlled human comparison is reported.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-15","","unknown","incomplete","true"
"1","2026-05","Superhuman","low","The reported infinite-family disproof overturns the asymptotic growth target after multiple independent published attacks; a model-supplied proof is recorded. This is provisional frontier evidence, not a measured human time advantage.","Difficult","Pre-report published human frontier for planar unit-distance growth; no matched expert-hours comparison.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-05-20","","unknown","Superhuman","true"
"11","2026-05","Difficult","medium","The coded source describes prior resistance at the exact target: The bend-and-break constant for the stated foliation setting is exactly r + 1. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-20","","unknown","Difficult","true"
"25","2026-05","Superhuman","low","The reported model-generated infinite construction resolves a specific representation target after several independently named investigations.","Difficult","The Schoen, Baier and Elsholtz-Planitzer investigations versus the reported infinite construction for problem 12(i).","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","Superhuman","true"
"26","2026-05","Difficult","low","The stronger companion construction is substantial, but resistance is partly inherited from a shared problem line rather than isolated for this exact variant.","Superhuman","An additive-number-theory specialist extending problem 12(i) to the all-large-scales companion target.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","Superhuman","true"
"27","2026-05","Superhuman","low","The corrected lower-density-zero theorem completes a quantitative target with independently cited 2001 and 2024 partial bounds; statement correction remains separate from difficulty.","Difficult","The Melfi and Hasler-Melfi partial density bounds versus the corrected zero-lower-density conclusion.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","Superhuman","true"
"28","2026-05","Difficult","low","The differences variant has a substantive proof, but aggregate model comparisons and an old problem date do not establish a human capability advantage.","Expected;Superhuman","Combinatorics specialists using coloring extensions for the exact differences variant, not every formulation of problem 138.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","incomplete","true"
"29","2026-05","Difficult","medium","The Sidon-set theorem is significant specialist progress. The recorded failed trials compare AI systems, not expert humans, so those failures do not establish a human-comparison Superhuman category.","Superhuman","A human additive-combinatorics specialist; the reported two 12-hour Codex attempts are model comparators only.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","Superhuman","true"
"30","2026-05","Difficult","low","The corrected upper-density decomposition is a new specialist result, without a target-specific human baseline or sufficiently documented repeated attempts.","Expected;Superhuman","Additive-combinatorics specialists working on the exact upper-density interpretation of problem 741(i).","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","incomplete","true"
"31","2026-05","Difficult","low","The additive-basis witness is substantive, but aggregate model results do not resolve likely human effort on this exact companion question.","Superhuman","An additive-combinatorics specialist building a partition-resistant basis; not the neighboring part (i) statement.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","incomplete","true"
"33","2026-05","Difficult","low","The generalized Tenenbaum construction is non-routine, but no exact-target human-resistance comparison is supplied.","Expected;Superhuman","Specialists in density and sets of multiples addressing the stated stronger variant, not automatically the original Erdos problem.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","incomplete","true"
"34","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: OEIS A051293: the number of nonempty subsets of {1,...,n} with integral average has the stated six-term asymptotic expansion. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","incomplete","true"
"35","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: Anchored gradient descent-ascent has the exact O(1/t) last-iterate convergence rate under the paper's convex-concave assumptions. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","incomplete","true"
"36","2026-05","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The proposed bipartite reconstruction algorithm is correct for finite 2-connected bipartite graphs with pairwise-distinct vertex types. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","incomplete","true"
"37","2026-05","Difficult","low","A formal proof of the leaf-bound conjecture is useful specialist progress; its 1996 origin is not itself evidence of extraordinary human difficulty.","Expected;Superhuman","Graph theorists relating spanning-tree leaves to neighborhood independence with the existing literature.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","incomplete","true"
"38","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: Zanello's conjecture: every pure O-sequence of codimension three and type two is log-concave. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-21","","unknown","incomplete","true"
"39","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: Green's Problem 57: the intended complex-valued equality is false, as certified by a counterexample on Z/3Z. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-05-21","","unknown","incomplete","true"
"4","2026-05","Difficult","low","The ascent counterexample is substantive specialist progress; the dated problem alone does not establish that its discovery exceeds plausible expert-human effort.","Expected;Superhuman","Commutative-algebra specialists constructing group-ring counterexamples with the pre-report literature.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"5","2026-05","Difficult","low","The quasi-coherence ascent counterexample is non-routine specialist work, with insufficient human-resistance evidence to infer a superhuman comparison.","Expected;Superhuman","Commutative-algebra specialists testing quasi-coherence ascent using existing group-ring constructions.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"6","2026-05","Difficult","low","The biring obstruction settles a specialist existence question, but the historical record supplies an antecedent characterization rather than repeated failed human attacks.","Expected;Superhuman","A specialist in integer-valued polynomial rings and birings using the cited characterization.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"7","2026-05","Difficult","low","The implication establishes a general ring-theoretic result using earlier t-invertibility work; no exact-target human performance comparison is supplied.","Expected;Superhuman","Commutative-algebra specialists extending existing t-invertibility results to finite t-character.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"8","2026-05","Difficult","low","Local Jaffardness of one known domain is a targeted specialist theorem. One prior partial antecedent and age do not establish beyond-human difficulty.","Expected;Superhuman","A relevant ring-theory specialist examining the prime localizations of David's existing domain.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"9","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: Not every integral point on a codimension-three pure ray is realizable over either k[x,y,z] or the enveloping algebra of the Heisenberg Lie algebra. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-05-24","","unknown","incomplete","true"
"10","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: A specific integral degree sequence cannot be realised by the proposed graded-Lie construction, so the universal Boij-Soderberg realisation question has a negative answer. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-05-24","","unknown","incomplete","true"
"274","2026-05","Difficult","medium","The coded source describes settlement of a pre-existing target: Every permutation of [18] has a monotone 2-additive subsequence of length three, while the displayed permutation (8,10,12,14,3,5,16,1,7,11,4,17,13,2,9,6,15) shows that 18 is the least pos… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-05-27","","unknown","incomplete","true"
"40","2026-06","Difficult","medium","The coded source describes prior resistance at the exact target: The book Ramsey number R(B8,B10) equals 37. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-06-04","","unknown","Difficult","true"
"45","2026-07","Difficult","medium","The coded source describes settlement of a pre-existing target: For every Fano manifold, compact subgroup and basepoint-free level, the fixed-level equivariant Tian alpha invariant equals the corresponding equivariant global log canonical threshold. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-07-01","","unknown","incomplete","true"
"46","2026-07","Difficult","low","The all-parameter homeomorphism classification is substantial topology, but the source pack does not establish the needed comparative human effort.","Superhuman","A topology specialist or small team adapting the cited Hilbertian-ball methods to the full parameter family.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-07-02","","unknown","incomplete","true"
