id,period,higher_challenge,challenge_score,description
35,2026-05,0,1,"anchored gradient descent--ascent. an exact last-iterate convergence rate is proved for anchored gda in convex--concave min--max optimization, using a newly discovered parameter schedule. proved / improved bound +. formal proof; later work extended the result. \\"
36,2026-05,0,1,"weak bipartite graph reconstruction. a proposed reconstruction algorithm is correct for the paper's bipartite setting under an additional vertex-type condition; the unrestricted bipartite statement remains open. conditional theorem +. formal proof of the restricted theorem, not of the full reconstruction conjecture. \\"
37,2026-05,1,2,graffiti leaf-bound conjecture. a 1996 graph-theory conjecture relating the maximum number of leaves in a spanning tree to independent sets in vertex neighborhoods is proved. proved +. formal proof; exact statement supplied in the cited source/repository. \\
38,2026-05,1,2,zanello's conjecture. every pure -sequence of codimension three and type two is log-concave. proved +. formal proof with substantial reformulation and case analysis. \\
39,2026-05,1,2,"green's problem 57. the intended complex-valued equality of two quadratically structured function spaces is false; a candidate finite cyclic counterexample was formally certified. disproved +. counterexample is formally checked, but the dedicated paper was still in preparation at the source date. \\"
4,2026-05,0,1,"finite conductor and group rings. the finite-conductor property does not necessarily ascend from a g--gcd ring to for finitely generated abelian . counterexample . self-contained ai-generated proof, subsequently verified by human experts. \\"
5,2026-05,0,1,"quasi-coherence and group rings. the quasi-coherent property likewise need not ascend from a g--gcd ring to its group ring. counterexample . ai-generated, human-verified preprint. \\"
6,2026-05,0,1,"integer-valued polynomial birings. there exists an integral domain for which admits no compatible -- biring structure of the specified kind. counterexample . ai-generated, human-verified preprint. \\"
7,2026-05,0,1,"agcd domains. if every nonzero -locally principal ideal of an almost-gcd domain is -invertible, then the domain has finite -character. proved . ai-generated, human-verified preprint. \\"
8,2026-05,0,0,"david's domain. david's three-dimensional non-noetherian factorial domain is locally jaffard. proved . ai-generated, human-verified preprint. \\"
9,2026-05,0,1,"boij--s""oderberg realization, codimension three. not every integral point on a codimension-three pure ray is realized over or the enveloping algebra of the heisenberg lie algebra. disproved . explicit negative construction, human verified. \\"
40,2026-06,1,2,book ramsey number. . proved +. lean formalization of the upper bound accompanies the paper; lower bound was known. \\
2,2026-07,1,3,"cycle double cover conjecture. every finite bridgeless graph has a multiset of cycles covering every edge exactly twice. claimed proof +. a specialist clarification exists, but the claim was only days old at the cut-off and had not completed conventional peer review. \\"
41,2026-07,0,1,ap\'ery's constant and chemical reaction networks. is crn-computable via a machine-checked construction from its holonomic generating function. proved +. no admitted gaps; very recent july preprint. \\
44,2026-07,1,3,"jacobian conjecture. a recently announced polynomial map with constant nonzero jacobian determinant and multiple preimages would disprove keller's conjecture in dimension three, and hence in all dimensions , if the announced construction withstands further checking. claimed counterexample +. public announcement and rapid symbolic verification have circulated, but the result was only just announced at the report cut-off and should not yet be treated as a fully settled theorem. \\"
