id,prior_target,advance,scope,resistance,score,category,framing_year,solution_year,age_decades,provisional,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
25--11,1,2,0,0,3,Superhuman,2014,2025,1.1,0,"At n equals 5 and erasure probability 0.40, majority is not optimal for non-interactive correlation distillation, disproving the universal majority-optimality conjecture.","The exact question of majority optimality in the erasure model appeared publicly in the 2014 Simons Real Analysis in Computer Science open-problem collection.","A verified finite counterexample completely resolves the universal conjecture in the negative.","The decisive witness is a fixed five-bit instance at one erasure probability.","The source does not document two independent prior attempts on this exact non-interactive correlation-distillation question.","The precise public target dates to 2014 and was settled in 2025, an elapsed duration of 11 years or 1.1 decades.","High"
25--12,1,2,1,1,5,Superhuman,1983,2025,4.2,0,"For the classical accelerated gradient method on smooth convex objectives, the iterates themselves converge, resolving the point-convergence question.","Point convergence for Nesterov's accelerated method had remained open since the method's 1983 introduction.","The theorem proves convergence of the iterates and thereby settles the longstanding question rather than improving a rate bound.","The result is uniform over the stated general class of smooth convex objectives.","The literature reviewed in the paper contains multiple independent attempts and partial convergence results, including work beginning well before the final proof.","The exact target is traced to 1983 and was solved in 2025, an elapsed duration of 42 years or 4.2 decades.","High"
25--13,1,2,1,1,5,Superhuman,1992,2025,3.3,0,"For all sufficiently large N, the largest sets A in the first N integers for which ab plus 1 is never squarefree are attained by the residue class 7 modulo 25, with the stated near-uniqueness.","Erdos posed the exact extremal problem as Problem 23 in a 1992 paper, later catalogued as Erdos Problem 848.","The theorem determines the extremal construction for all sufficiently large N and supplies the corresponding structural characterization.","The conclusion holds over the unbounded family of all sufficiently large N.","The source records distinct prior work and attempted approaches by van Doorn, Weisenberg and Cambie on the same problem.","The precise target was published in 1992 and solved in 2025, an elapsed duration of 33 years or 3.3 decades.","High"
25--14,0,2,1,0,3,Difficult,,2025,,0,"The minimum-norm follow-the-leader rule has unbounded competitive ratio even for nested convex-body chasing in two dimensions.","The author reports formulating this natural follow-the-leader question during the project rather than inheriting an exact public conjecture.","An explicit adversarial family completely resolves that algorithmic question in the negative by forcing arbitrarily bad ratios.","Although the dimension is fixed, the construction is an unbounded family of instances establishing a worst-case impossibility result.","No two earlier attempts on the newly formulated exact question are documented.","Not eligible for the duration override because the target was formulated in the course of the 2025 work.","High"
25--15,1,1,1,1,4,Difficult,,2025,,0,"Any online algorithm for nested convex-body chasing has competitive ratio at least pi over 2 times the square root of floor d over 2.","The dimension-dependent lower-bound frontier for convex-body chasing was public, with prior square-root-d and two-dimensional bounds.","The theorem strengthens the general lower bound but does not close the gap to the best upper bound or give a sharp ratio.","The result applies to arbitrary online algorithms across an unbounded range of dimensions.","The paper builds on multiple independent lower-bound efforts, including the earlier square-root-d construction and the separate 1.5358 two-dimensional bound.","Not eligible for the duration override because this is a lower-bound improvement rather than a complete resolution.","High"
25--16,1,2,1,1,5,Superhuman,2013,2025,1.2,0,"Every finite tree satisfies 29Y minus 42P minus 144S less than or equal to 504, resolving the second tree-profile inequality conjecture.","The exact second tree-profile inequality appeared in a 2013 preprint and remained open after the associated 2016 follow-up work.","The proof establishes the conjectured inequality for every finite tree, completely settling the target.","The quantifier ranges uniformly over all finite trees, an unbounded combinatorial class.","The original tree-profile paper and a later study by a partially different author group are two distinct documented attacks that proved related cases and isolated the remaining inequality.","The exact conjecture dates to 2013 and was proved in 2025, an elapsed duration of 12 years or 1.2 decades.","High"
25--17,1,1,1,0,3,Difficult,,2025,,0,"In equal-mixture attractiveness-weighted preferential-attachment trees, the limiting leaf fraction is strictly increasing in the weight and yields a consistent estimator of that weight.","A 2012 COLT open problem publicly asked for estimation with a polynomial convergence rate and a somewhat more general mixing parameter.","The theorem proves identifiability and consistency in the equal-mixture case, but it does not deliver the requested polynomial rate or the full parameter generality.","The statement covers an unbounded random-tree process and a range of weights, not one finite graph.","The available account does not document two independent prior attempts on the exact 2012 estimation target.","Not eligible for the duration override because the advance is a partial resolution of the older target.","High"
25--18,1,1,0,1,3,Difficult,,2025,,0,"A step-function construction improves the upper bound on the first autocorrelation-inequality constant from 1.503164 to 1.503133.","Minimizing the published upper bound on this named autocorrelation constant is an explicit public optimization target.","The new witness improves the upper bound but does not determine the sharp value of the constant.","The scored advance is one finite computational witness rather than a uniform theorem over an unbounded input class.","A prior human construction and the separate AlphaEvolve construction are independent documented attacks on the same upper-bound target.","Not eligible for the duration override because the result is a numerical record improvement, not a complete settlement.","High"
25--19,0,1,1,0,2,Expected,,2025,,0,"Grover-compatible retractions on invariant subspaces support a retraction-based Riemannian gradient method with proved convergence guarantees.","The paper describes the Grover-compatible manifold-optimization target as emerging through the authors' human-AI exploration, not as a pre-existing exact public problem.","The work establishes a material framework and convergence theorems but does not completely settle an externally framed sharp target.","The theorems range over general invariant subspaces and objective functions within the stated framework.","No independent prior attempts on the newly formulated exact framework are documented.","Not eligible for the duration override because there was no precise public target predating the project and the advance is not a complete classification.","High"
25--20,0,2,1,0,3,Difficult,,2025,,0,"For all stable genus and marking data, extremal descendant integrals are minimized by concentrated exponents and maximized by balanced exponents.","The authors report that the conjecture itself was discovered during the AI-assisted project, so it was not a pre-existing public target.","The theorem gives the sharp minimum and maximum and classifies the extremizers across the stated domain.","The classification is uniform over the unbounded family of stable genera, numbers of markings and exponent vectors.","There were no documented prior attempts on the newly generated exact conjecture.","Not eligible for the duration override because the precise target did not predate the 2025 project.","High"
