id,period,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
25--19,2025-12,0,1,1,0,2,Expected,,2025,,0,"grover-compatible manifold optimization. a human--ai workflow identified invariant subspaces, constructed compatible retractions, and established convergence guarantees for a retraction-based gradient method. theory and convergence results . human authors refined outputs into precise statements and rigorous proofs. \\",Grover-compatible retractions on invariant subspaces support a retraction-based Riemannian gradient method with proved convergence guarantees.,"The paper describes the Grover-compatible manifold-optimization target as emerging through the authors' human-AI exploration, not as a pre-existing exact public problem.",The work establishes a material framework and convergence theorems but does not completely settle an externally framed sharp target.,The theorems range over general invariant subspaces and objective functions within the stated framework.,No independent prior attempts on the newly formulated exact framework are documented.,Not eligible for the duration override because there was no precise public target predating the project and the advance is not a complete classification.,High
25--20,2025-12,0,2,1,0,3,Difficult,,2025,,0,"extremal descendant integrals. for pure -class intersection numbers on , the minimum occurs when all but one exponent vanish, while balanced exponent vectors maximize the value. proved , with partial . the paper exposes prompts, attribution, and a partial lean development. \\","For all stable genus and marking data, extremal descendant integrals are minimized by concentrated exponents and maximized by balanced exponents.","The authors report that the conjecture itself was discovered during the AI-assisted project, so it was not a pre-existing public target.",The theorem gives the sharp minimum and maximum and classifies the extremizers across the stated domain.,"The classification is uniform over the unbounded family of stable genera, numbers of markings and exponent vectors.",There were no documented prior attempts on the newly generated exact conjecture.,Not eligible for the duration override because the precise target did not predate the 2025 project.,High
21,2026-02,1,2,1,0,4,Difficult,2022,2026,0.4,0,fel's syzygy conjecture. the normalized alternating syzygy power sums of a numerical semigroup satisfy fel's explicit formula in terms of gap power sums and universal symmetric polynomials. proved +. fully formalized in lean/mathlib and presented in a mathematical paper. \\,Fel's conjectured syzygy power-sum identity holds for every numerical semigroup and every p >= 0.,"Fel stated the exact identity as Conjecture 1 in 2022, before this proof.",The paper proves the conjecture in full rather than treating a special case or numerical sample.,The theorem is uniform over all numerical semigroups and all nonnegative p.,"The source trail shows the originating conjecture and related work, but not two independent published attempts at the exact target.",Framed in 2022 and solved in 2026: 4 years = 0.4 decades.,high
22,2026-02,1,2,1,0,4,Difficult,2022,2026,0.4,0,"parity of -differentials in genus zero and one. the number-theoretic hypothesis underlying the previously conditional spin-parity classification is true, making the geometric result unconditional. proved with on the key combinatorial identity. the paper does not claim full end-to-end formalization of every geometric step. \\","The parity conjecture for odd k-differentials holds, making the genus-zero and genus-one classification unconditional.",Chen and Gendron stated the exact claim as Conjecture A.10 in 2022.,"The result proves the conjecture completely, not merely another genus or stratum subcase.",It applies uniformly to the relevant odd-k differential strata and completes the genus-zero and genus-one classification.,"Only the originating paper and related developments were located, not two independent attacks on this exact conjecture.",Framed in 2022 and solved in 2026: 4 years = 0.4 decades.,high
23,2026-02,1,0,1,0,2,Expected,2024,2026,0.2,0,"dead ends in square-free digit walks. for every base , the asymptotic dead-end density exists and has a finite alternating euler-product formula; in base ten it is about . proved +. fully formalized in lean/mathlib. \\",The asymptotic density of dead ends in base-b multiplication has the stated formula for every base b >= 2.,Miller and collaborators documented the exact quantitative prediction in 2024.,"The revised paper acknowledges that Mirsky had already obtained the result in 1947, so the 2026 derivation is a rediscovery rather than a new advance.",The formula is asymptotic and uniform across every integer base b >= 2.,No record of two unsuccessful independent attacks was found; the result was already in the literature.,The modern target was documented in 2024 and revisited in 2026: 2 years = 0.2 decades.,high
24,2026-02,0,1,1,0,2,Expected,,2026,,0,"partial regularity of primes. for every , a density-one subset of primes is partially regular through the range , with a partial vandiver consequence. proved +. main theorem fully formalized in lean/mathlib. \\",A density-one family of primes has the paper's partial-regularity property for every alpha > 1/2.,The exact partial-regularity statement is introduced and posed in the same paper; the older Vandiver conjecture is broader and is not this target.,"This is a material new partial-regularity theorem, but it does not settle the broader Vandiver problem.",The density-one conclusion is uniform for every alpha > 1/2 rather than being a fixed-prime computation.,No two independent pre-solution attempts at this newly formulated target were available.,"There is no pre-existing exact framing year, so the historical-age override does not apply.",high
13,2026-03,1,1,1,0,3,Difficult,1979,2026,4.7,0,small prime factors of binomial coefficients. the relevant threshold for small prime divisors of has a polylogarithmic upper bound and is logarithmically large for infinitely many . bounds proved . human authors state the proofs were entirely model-generated; they digested and edited the exposition. \\,"The small-prime-factor extremal function in Erdos problem 684 has polylogarithmic upper growth, with logarithmic lower growth on an infinite sequence.",Erdos posed the exact extremal question in 1979 as the problem now catalogued as number 684.,"The paper greatly improves the previous exponent bound and supplies an infinite-sequence lower bound, but it does not determine the final order of growth.",The upper bound is uniform in n and the lower result concerns an infinite asymptotic sequence.,Only one direct prior quantitative attack on the exact target was located; indirect inputs and related problems do not satisfy the two-attempt rule.,Framed in 1979 and advanced in 2026: 47 years = 4.7 decades; the age override is unavailable because the advance is partial.,medium
14,2026-03,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"partition-resistant additive basis. there exists an additive basis of order two such that for every partition , at least one of or has unbounded gaps. counterexample / construction . model-generated proof, checked and rewritten by expert authors. \\",There exists an additive basis A of order two such that every partition A=A1 union A2 leaves at least one monochromatic sumset Ai+Ai with unbounded gaps.,Burr and Erdos published this exact partition-resistant additive-basis question in 1994.,The explicit construction supplies the requested basis and answers the existence question in full.,The construction is infinite and its guarantee ranges over every partition of the basis.,"Erdos reported an unfinished proof, but a second independent attempt at the exact target was not found.","Framed in 1994 and solved in 2026: 32 years = 3.2 decades, satisfying the historical override.",High
15,2026-03,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"prime multiples are not well distributed. for every real , the sequence of fractional parts , with prime, is not well distributed in the hlawka--petersen sense. proved . model-generated proof, checked and rewritten by expert authors. \\","For every real alpha, the sequence of prime multiples relevant to Erdos problem 997 is not well distributed.",Erdos formulated the exact universal conjecture in 1964.,"The theorem proves the claim for every real alpha, upgrading a known one-alpha existence result to the full conjecture.",The quantifier is uniform over every real alpha rather than a selected witness.,The record contains Erdos's failed or retracted proof attempt and an independent 2024 paper proving a substantial one-alpha subcase.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high
42,2026-03,0,1,1,0,2,Expected,,2026,,0,"vlasov--maxwell--landau equilibrium. under the stated smoothness and decay assumptions, a steady state on the torus is a spatially uniform maxwellian, with vanishing electric field and constant magnetic field. proved +. full lean 4 development; one mathematician supervised and audited definitions. \\",The paper establishes its full equilibrium theorem for the Vlasov-Maxwell-Landau system under the stated smoothness hypotheses.,The authors say that this precise theorem did not previously appear in the literature and arose from a question posed during the 2026 project.,"It is a substantive new theorem, but not the settlement of a documented pre-existing exact target.",The theorem ranges over all smooth steady states satisfying the hypotheses.,There could not be two independent pre-solution attacks on the newly formulated exact statement.,"There is no pre-existing exact framing year, so the historical-age override does not apply.",high
43,2026-03,1,2,1,1,5,Difficult,2024,2026,0.2,0,"cosmic-string radiation integral. exact analytical evaluations of the core integral for arbitrary loop geometries, together with large- asymptotics, yield the gravitational-radiation power spectrum. open problem resolved . analytical paper with numerical cross-checks; not a proof-assistant formalization. \\","The cosmic-string radiation integral I(N, alpha) has an exact solution for arbitrary loop geometry.",Storm and Scherrer isolated the exact integral and target in 2024.,The paper gives the exact arbitrary-geometry solution rather than another parity case or asymptotic approximation.,The expression applies across arbitrary geometry and general N within the model.,The 2024 formulation and a separate 2025 partial or asymptotic treatment provide two independent pre-solution research attempts.,"Framed in 2024 and solved in 2026: 2 years = 0.2 decades, below the historical threshold.",high
16,2026-04,1,2,1,1,5,Superhuman,1984,2026,4.2,0,"ordinary lines without an ordinary clique. for the nontrivial cases of erdos problem 960, there are planar sets with no four collinear, a bipartite ordinary-line graph, and quadratically many ordinary lines, refuting the conjectured sparse behavior. disproved . human-verified and digested; all nontrivial cases addressed in the paper. \\","For every r at least 3 and k at least 4, planar point sets with no k collinear points and no ordinary-line K_r can still have quadratically many ordinary two-point lines.",Erdos asked the exact ordinary-line growth question in 1984.,The construction resolves every nontrivial parameter pair and disproves the proposed subquadratic bound.,The construction is an infinite family uniform over the stated ranges of r and k.,Furedi and Palasti in 1984 and Escudero in 2016 independently developed configurations aimed at this ordinary-line and forbidden-clique frontier.,"Framed in 1984 and solved in 2026: 42 years = 4.2 decades, satisfying the historical override.",High
17,2026-04,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"uniformly small exponential sums. a randomized dyadic construction gives a real sequence with near-optimal uniform control of its exponential sums, close to clunie's lower bound. construction . model-generated, expert-checked preprint. \\","There are coefficient choices whose uniform exponential-sum norm is o(k), with the stated square-root-logarithmic bound.",Erdos asked in 1964 whether the relevant extremal quantity A_k could be o(k).,The construction supplies a sublinear bound and therefore fully answers the yes-or-no target.,"It is an asymptotic construction for unbounded k, not a fixed-degree example.",Clunie in 1967 and Liu in 1969 independently established successive bounds on this exact extremal problem.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high
18,2026-04,1,2,1,1,5,Superhuman,1976,2026,5.0,0,"-free critical graphs with few chords. there are arbitrarily large -free, -critical graphs in which every cycle has at most ten chords, disproving erdos problem 1091. counterexample . model found the family; human authors made a minor proof-level simplification. \\",There are arbitrarily large K4-free 4-chromatic graphs whose proper subgraphs are 3-colourable and whose every cycle has at most ten chords.,Erdos posed the unbounded chord-function question in 1976.,The unbounded family with a fixed chord bound gives a complete negative answer.,The construction works as an unbounded family rather than as one graph.,Larson in 1979 and Voss in 1982 made independent progress on successive chord bounds within the same problem line.,"Framed in 1976 and solved in 2026: 50 years = 5.0 decades, satisfying the historical override.",High
19,2026-04,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"fewnomial erdos--tur\'an analogue. replacing polynomial degree by support size in a proposed root-discrepancy bound fails: a sparse bounded-height family has a positive real root of growing multiplicity. counterexample . model-generated, expert-checked preprint. \\",Explicit sparse polynomials violate the proposed fewnomial Erdos-Turan discrepancy bound for arbitrarily large parameter values.,Erdos stated the exact sparse-polynomial discrepancy conjecture in 1964.,The explicit all-scale family fully disproves the conjectured universal bound.,The counterexamples form an unbounded family indexed by N rather than a single exceptional polynomial.,Hayman's 1972 linear bound and Hrubes's 2013 work on the same sparse-root frontier are independent quantitative attacks preceding the resolution.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high
20,2026-04,1,2,1,0,4,Superhuman,1999,2026,2.7,0,"primes of the form . for each fixed positive integer , only finitely many have prime for every coprime to . proved . model-generated proof; generalizes erdos problem 1141. \\","For every fixed integer a at least 1, only finitely many n make n-a k^2 prime for every admissible k with a k^2<n and gcd(k,n)=1.",The a = 1 case was posed explicitly in the 1999 collection Some of Paul's Favorite Problems.,The theorem settles the original case and proves the stronger statement for every fixed a.,Its conclusion is uniform over the infinite n-range for each fixed a and generalises the original parameter.,Related a = 2 work and one recent partial count do not amount to two independent attacks on the exact target; controlled model trials also had a high solve rate.,"Framed in 1999 and solved in 2026: 27 years = 2.7 decades, satisfying the historical override.",High
3,2026-04,1,2,0,0,3,Superhuman,2014,2026,1.2,0,anderson's quasi-completeness problem. a weakly quasi-complete noetherian local ring need not be quasi-complete. counterexample +. end-to-end lean 4 proof with essentially no human involvement in solving/formalizing; separately presented in a human-verified paper. \\,There exists a Noetherian local ring that is weakly quasi-complete but not quasi-complete.,D. D. Anderson asked in 2014 whether weak quasi-completeness and quasi-completeness coincide for Noetherian local rings.,The constructed counterexample gives a complete negative answer.,"The decisive object is a single constructed witness, so this is not a uniform theorem over an unbounded class for the scope signal.","The published formulation establishes the target, but two independent pre-solution attempts on that exact equivalence were not documented.","Framed in 2014 and solved in 2026: 12 years = 1.2 decades, satisfying the historical override.",High
1,2026-05,1,2,1,1,5,Superhuman,1946,2026,8.0,0,"planar unit-distance conjecture. there are infinitely many for which an -point planar set determines at least unit-distance pairs for some fixed , disproving the conjectured upper-order behavior. disproved +. external mathematicians checked the proof and produced a digested companion paper. preprint, but unusually strong public expert validation. \\",An infinite family of planar point sets has enough unit distances to disprove the n^(1+o(1)) conjecture.,"Erdos framed the planar unit-distance problem in 1946, including the asymptotic frontier addressed here.",The infinite counterexample family fully refutes the stated conjectural upper-growth form.,The result is an asymptotic family for unbounded n.,The unchanged benchmark and many independent published attacks over eight decades clearly meet the resistance rule.,"Framed in 1946 and solved in 2026: 80 years = 8.0 decades, satisfying the historical override.",high
10,2026-05,1,2,0,0,3,Difficult,2017,2026,0.9,0,"boij--s""oderberg realization over graded lie algebras. the analogous realization assertion for arbitrary finite-dimensional positively graded lie algebras generated in degree one is false. disproved . explicit negative construction, human verified. \\","A specific integral degree sequence cannot be realised by the proposed graded-Lie construction, so the universal Boij-Soderberg realisation question has a negative answer.",The exact universal question appears as Question 6.2 in the published 2017 Erman-Sam survey.,One certified counterexample is logically sufficient to settle the universal question in full.,"The resolution turns on a single degree sequence and witness obstruction, so the scope signal is zero.",No two independent published attempts at this exact realisation question were located.,The citable problem statement was published in 2017 and solved in 2026: 9 years = 0.9 decades.,medium
11,2026-05,1,2,1,1,5,Difficult,2026,2026,0.0,0,"optimal bend-and-break for foliations. for every rank- foliation on a normal projective variety, the optimal constant in the tangent rational-curve bend-and-break inequality is . proved . authors describe the proof as ai-generated and human verified. \\",The bend-and-break constant for the stated foliation setting is exactly r + 1.,"Earlier papers established a quantitative sequence of bounds, and the exact optimal-constant target was explicitly raised in January 2026.","The paper proves the sharp constant, which is a final optimum rather than another improvement.",The theorem applies uniformly to all foliations satisfying the hypotheses.,"Miyaoka, Shepherd-Barron, and Bogomolov-McQuillan supplied independent successive bounds on the same quantitative frontier.",The exact optimum was framed in 2026 and proved in 2026: 0 years = 0.0 decades.,medium
12,2026-05,1,1,1,0,3,Difficult,2026,2026,0.0,0,"semifree differential graded algebras. stable tame isomorphism, quasi-isomorphism, and derived morita equivalence are all undecidable for semifree noncommutative dgas. proved undecidable . expert-authored mathematical paper; resolves half of a published low-dimensional-topology problem. \\",The three noncommutative equivalence problems for semifree differential graded algebras are decidable in the stated generality.,The exact multi-part target was published as Problem 5.16 in the 2026 K3 problem list.,"The paper settles all three noncommutative parts, but the commutative half of the listed problem remains open.",The algorithms apply to general input classes of semifree differential graded algebras rather than fixed examples.,No two independent earlier attacks on this newly published exact problem were found.,Framed and partially solved in 2026: 0 years = 0.0 decades; a partial advance cannot receive the override.,high
